Declaração;Ano;Ano Referencia;Data Criação;Data Entrega;Declarante;Município Declarante;UF Declarante;Descritivo/Detalhamento;Link do Estudo de Regionalização;Município
137;2019;2018;;04/10/2019;SANTA CATARINA;Arvoredo;SC;Região de Concórdia;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Arvoredo
137;2019;2018;;04/10/2019;SANTA CATARINA;Concórdia;SC;Região de Concórdia;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Concórdia
137;2019;2018;;04/10/2019;SANTA CATARINA;Ipira;SC;Região de Concórdia;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Ipira
137;2019;2018;;04/10/2019;SANTA CATARINA;Ipumirim;SC;Região de Concórdia;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Ipumirim
137;2019;2018;;04/10/2019;SANTA CATARINA;Irani;SC;Região de Concórdia;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Irani
137;2019;2018;;04/10/2019;SANTA CATARINA;Jaborá;SC;Região de Concórdia;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Jaborá
137;2019;2018;;04/10/2019;SANTA CATARINA;Lindóia do Sul;SC;Região de Concórdia;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Lindóia do Sul
137;2019;2018;;04/10/2019;SANTA CATARINA;Paial;SC;Região de Concórdia;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Paial
137;2019;2018;;04/10/2019;SANTA CATARINA;Peritiba;SC;Região de Concórdia;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Peritiba
137;2019;2018;;04/10/2019;SANTA CATARINA;Piratuba;SC;Região de Concórdia;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Piratuba
137;2019;2018;;04/10/2019;SANTA CATARINA;Presidente Castelo Branco;SC;Região de Concórdia;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Presidente Castelo Branco
137;2019;2018;;04/10/2019;SANTA CATARINA;Seara;SC;Região de Concórdia;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Seara
137;2019;2018;;04/10/2019;SANTA CATARINA;Xavantina;SC;Região de Concórdia;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Xavantina
137;2019;2018;;04/10/2019;SANTA CATARINA;Araranguá;SC;Região de Criciúma;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Araranguá
137;2019;2018;;04/10/2019;SANTA CATARINA;Balneário Arroio do Silva;SC;Região de Criciúma;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Balneário Arroio do Silva
137;2019;2018;;04/10/2019;SANTA CATARINA;BALNEÁRIO RINCÃO;SC;Região de Criciúma;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;BALNEÁRIO RINCÃO
137;2019;2018;;04/10/2019;SANTA CATARINA;Criciúma;SC;Região de Criciúma;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Criciúma
137;2019;2018;;04/10/2019;SANTA CATARINA;Ermo;SC;Região de Criciúma;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Ermo
137;2019;2018;;04/10/2019;SANTA CATARINA;Forquilhinha;SC;Região de Criciúma;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Forquilhinha
137;2019;2018;;04/10/2019;SANTA CATARINA;Içara;SC;Região de Criciúma;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Içara
137;2019;2018;;04/10/2019;SANTA CATARINA;Maracajá;SC;Região de Criciúma;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Maracajá
137;2019;2018;;04/10/2019;SANTA CATARINA;Meleiro;SC;Região de Criciúma;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Meleiro
137;2019;2018;;04/10/2019;SANTA CATARINA;Morro Grande;SC;Região de Criciúma;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Morro Grande
137;2019;2018;;04/10/2019;SANTA CATARINA;Nova Veneza;SC;Região de Criciúma;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Nova Veneza
137;2019;2018;;04/10/2019;SANTA CATARINA;Timbé do Sul;SC;Região de Criciúma;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Timbé do Sul
137;2019;2018;;04/10/2019;SANTA CATARINA;Turvo;SC;Região de Criciúma;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Turvo
137;2019;2018;;04/10/2019;SANTA CATARINA;Brunópolis;SC;Região de Curitibanos;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Brunópolis
137;2019;2018;;04/10/2019;SANTA CATARINA;Curitibanos;SC;Região de Curitibanos;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Curitibanos
137;2019;2018;;04/10/2019;SANTA CATARINA;Frei Rogério;SC;Região de Curitibanos;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Frei Rogério
137;2019;2018;;04/10/2019;SANTA CATARINA;Lebon Régis;SC;Região de Curitibanos;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Lebon Régis
137;2019;2018;;04/10/2019;SANTA CATARINA;Monte Carlo;SC;Região de Curitibanos;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Monte Carlo
137;2019;2018;;04/10/2019;SANTA CATARINA;Ponte Alta;SC;Região de Curitibanos;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Ponte Alta
137;2019;2018;;04/10/2019;SANTA CATARINA;Ponte Alta do Norte;SC;Região de Curitibanos;https://issuu.com/sustentavelsc/docs/gestaoresiduossolidos;Ponte Alta do Norte
